id,title,place,description,siteUrl,favoritesCount,commentsCount,rating
31702,"Перфекционизм и чёрный юмор — что объединяет фильмы Стэнли Кубрика","","<p>Стэнли Кубрик по праву считается одним из самых значимых режиссёров мирового кинематографа. Он получил признание ещё при жизни, и до сих пор его фильмы пользуются огромной популярностью. «Сияние», «Заводной апельсин», «Цельнометаллическая оболочка» — каждая из его 13 картин самобытна и не похожа на другие. Однако даже у такого многогранного автора есть чёткая методология, которая прослеживается в каждой работе. Мы решили вспомнить, что объединяет картины гениального режиссёра. Ещё больше обзоров премьер и рецензий на фильмы ищите у нас на сайте в разделе про <a href="https://kudago.com/spb/kino/" target="_blank" title="киноафиша "><u>кино</u></a>.</p>",https://kudago.com/all/news/absolyutnyij-perfektsionizm-i/,3,0,0.9525741268224334
51317,"Мир искусства: 3 канала в VK Видео для вдохновения и творчества","","<p>Узнайте больше о мире искусства и расширяйте свои горизонты! KudaGo и VK Видео выбрали для вас видеоблоги, где искусство становится доступным каждому. Здесь можно познакомиться с выдающимися произведениями, узнать много нового от экспертов в сфере культуры и получить заряд вдохновения для собственного творчества.</p>",https://kudago.com/all/news/mir-iskusstva-3-kanala-v-vk/,1,0,0.7310585786300049
51320,"Linkin Park: легендарная группа в цифрах","","<p>На прошлой неделе группа Linkin Park <a href="https://kudago.com/all/news/linkin-park-anonsirovali-tur-i/">объявила о возвращении на сцену, гастрольном туре и грядущем выпуске очередного альбома</a>. Состав команды пополнился новыми участниками — и теперь готов к покорению новых высот!</p>",https://kudago.com/all/news/linkin-park-v-tsifrah/,1,0,0.7310585786300049
51212,"Прятки, салки и Шекспир: рецензия на спектакль «Барышня-крестьянка» в Молодёжном театре на Фонтанке","","<p><a href="https://kudago.com/spb/place/molodezhnyj-teatr-na-fontanke/">Молодёжный театр на Фонтанке</a> представил собственную сценическую версию «Барышни-крестьянки» из цикла Александра Сергеевича Пушкина «Повести Белкина». Премьера состоялась в рамках фестиваля «Петербург. Пространство Пушкина», приуроченного к 225-летию поэта. В постановке режиссёра Натальи Архиповой лаконичный пушкинский шедевр оброс дополнительными персонажами и сюжетными линиями, сохранив первоначальную лёгкость и очарование. Руководитель постановки — Семён Спивак.</p>",https://kudago.com/spb/news/review-spektakl-baryshnya-krestianka/,1,0,0.7310585786300049
46751,"Эногастрономический фестиваль «Черноморская винная неделя»","","<p>«Черноморская винная неделя» в Краснодарском крае вновь станет центром притяжения туристов со всей страны. Гостей ждёт обширная программа на любой вкус: экскурсии, музыка, творчество, спорт, ярмарка и другие события. </p>",https://kudago.com/all/news/enogastronomicheskij-festival/,1,0,0.7310585786300049
50892,"Go по работам: соосновательницы бренда DEDÈ про гениальные идеи в 4 утра, неуловимую ткань и дьявола в деталях","","<p>Герои <a href="https://kudago.com/spb/activity/go-po-rabotam/">Go по работам</a> — уникальные женщины по нескольким причинам. Во-первых, они являются соосновательницами <a class="external-link" href="https://dedestore.ru/?erid=2SDnjc6GNaE" rel="nofollow" target="_blank">бренда одежда для деловых женщин DEDÈ</a>. Во-вторых, они успешно совмещают ведение бизнеса с ролью многодетных мам, а бренд называют своим четвёртым ребёнком. Мы поговорили с Мариной Фоменко и Анной Рябенко о том, как им удаётся создавать одежду на века, приучать женщин к комфортному стилю и сочетать элегантность с самоподачей. </p>",https://kudago.com/all/news/go-po-rabotam-soosnovatelnitsyi-dede/,1,0,0.7310585786300049
51382,"Стали известны лауреаты Шнобелевской премии","","<p>Её вручают в 34-й раз.</p>",https://kudago.com/all/news/stali-izvestnyi-laureatyi/,0,0,0.5
51381,"Несмотря на засуху, грибники несут из леса полные корзины","","<p>А ещё в Ленобласти появилась клюква.</p>",https://kudago.com/spb/news/nesmotrya-na-zasuhu-gribniki/,0,0,0.5
51380,"Опубликован тизер шоу про юного Декстера","","<p>Премьера — зимой.</p>",https://kudago.com/all/news/opublikovan-tizer-shou-pro-yunogo/,0,0,0.5
51383,"Худеющий кот Крошик хотел сбежать из реабилитационного центра","","<p>Но застрял.</p>",https://kudago.com/all/news/hudeyuschij-kot-kroshik-hotel/,0,0,0.5
51379,"Август 2024 года стал самым жарким в истории наблюдений","","<p>Синоптики предсказывают новые температурные рекорды.</p>",https://kudago.com/all/news/avgust-2024-goda-stal-samyim/,0,0,0.5
51378,"На Парашютной снова пасутся чёрные свиньи","","<p>Сначала их приняли за кабанов.</p>",https://kudago.com/spb/news/na-parashyutnoj-snova-pasutsya/,0,0,0.5
51377,"«Аэрофлот» запускает рейсы между Петербургом и Бангкоком","","<p>А ещё из Пулкова станут чаще летать в Тунис.</p>",https://kudago.com/spb/news/aeroflot-zapuskaet-rejsyi-mezhdu/,0,0,0.5
51376,"Над Подмосковьем и Ленобластью наблюдали северное сияние","","<p>В выходные есть шанс на повторение небесного шоу.</p>",https://kudago.com/all/news/nad-podmoskovem-i-lenoblastyu/,0,0,0.5
